id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
e828c42f-3979-4766-9be2-aa179e0b43d1,yesterday.market,available,44.49,44.49,high,low,9,namesilo,,
7f043a19-4cd6-42c3-b2b5-43d6066ca9b8,coherently.market,available,44.49,44.49,medium,low,10,namesilo,,
06ddecd6-2be9-43ab-9d4c-2d66ea345158,attractive.market,available,44.49,44.49,high,low,10,namesilo,,
e3029785-367e-4621-bff2-4777310513aa,birds.market,premium,242,242,high,low,5,namesilo,,
3f126790-99c7-448b-a9a4-55593cd27d20,booted.market,available,44.49,44.49,medium,low,6,namesilo,,
cb395f5a-1c15-4d5f-a1fa-0df4c7211507,seasick.market,available,,,medium,low,7,,,
27c9d00a-1eaa-47c0-8dcd-aea5f931af4c,norwegian.market,premium,500,,medium,low,9,name.com,,
6239eead-10d3-41dd-b922-d4d48aa86896,PlayStation.market,available,,,high,low,11,,,
cba94f0d-556e-4a01-8bf8-ba856884debb,surprisingly.market,available,44.49,44.49,medium,low,12,namesilo,,
504e5d31-99bb-4595-be5e-a545a5f10253,amendatory.market,available,,,medium,low,10,,,
e5542d8c-6643-493a-bdc0-2ffb3bc51d0b,baked.market,available,,,medium,low,5,,,
5531e184-1f56-4538-8394-62a3ae568459,ilxxx.market,available,,,medium,low,5,,,
1465e013-e42f-4a6a-b064-23994a1364a1,amazing.market,premium,44.49,44.49,high,low,7,namesilo,,
1e0df9d0-06fc-450a-989e-03b000daaeab,xxix.market,available,,,medium,low,4,,,
e1784e0e-e480-4e54-970d-ec623fc18e09,verywell.market,available,44.49,44.49,medium,low,9,namesilo,,
6de4f46a-3789-432b-a7fc-9b338feb79b7,totheminute.market,available,55.98,,low,low,13,namecheap,,
0da8e77d-08b6-4a72-8a29-e93731af0cab,lookupon.market,available,44.49,44.49,high,low,9,namesilo,,
fe4c7027-ad5c-4238-9212-4979d8e859bb,none.market,available,44.49,44.49,high,low,4,namesilo,,
d08f49a4-223a-46b9-8744-9198c0796245,smallwords.market,available,44.49,44.49,low,low,11,namesilo,,
eef2dab4-6bc7-4eac-b581-86a43837775d,soldiers.market,available,44.49,44.49,medium,low,8,namesilo,,
1b6644a6-e9eb-499e-8e8b-adfec395de9f,patrikin.market,available,,,medium,low,8,,,
93ca004e-d3db-4efb-afb3-23bb76fc1047,channukkah.market,available,44.49,44.49,medium,low,10,namesilo,,
ce03f70c-1489-4ca4-bce8-af3d0c9fdd2c,inception.market,available,44.49,44.49,high,low,9,namesilo,,
a43dbfaf-4c08-43d9-b349-df8043e749fe,oreo.market,available,44.49,44.49,high,low,4,namesilo,,
1bf6c7be-4963-4ec0-a1b6-d6392b3970ab,curiosity.market,available,55.98,,high,low,9,namecheap,,
a8431044-540d-4aa6-9ecf-36599a586551,beardless.market,available,,,medium,low,9,,,
